iter	Passed	Remaining
791	22724	5968
792	22755	5940
793	22790	5912
794	22820	5884
795	22846	5855
796	22877	5827
797	22910	5799
798	22939	5770
799	22966	5741
800	22997	5713
801	23023	5684
802	23051	5655
803	23079	5626
804	23106	5597
805	23130	5567
806	23158	5538
807	23186	5509
808	23212	5480
809	23241	5451
810	23271	5423
811	23298	5394
812	23323	5364
813	23348	5335
814	23377	5306
815	23412	5279
816	23439	5250
817	23470	5222
818	23500	5193
819	23526	5164
820	23556	5135
821	23584	5107
822	23612	5078
823	23638	5048
824	23668	5020
825	23695	4991
826	23722	4962
827	23752	4934
828	23780	4905
829	23806	4876
830	23836	4847
831	23876	4821
832	23907	4792
833	23938	4764
834	23971	4736
835	23995	4707
836	24021	4678
837	24060	4651
838	24092	4623
839	24119	4594
840	24146	4565
841	24173	4536
842	24202	4507
843	24229	4478
844	24259	4449
845	24291	4421
846	24316	4392
847	24344	4363
848	24373	4334
849	24407	4307
850	24432	4277
851	24464	4249
852	24491	4220
853	24521	4192
854	24549	4163
855	24582	4135
856	24606	4105
857	24633	4076
858	24667	4048
859	24697	4020
860	24724	3991
861	24755	3963
862	24785	3934
863	24812	3905
864	24838	3876
865	24862	3847
866	24891	3818
867	24931	3791
868	24961	3762
869	24990	3734
870	25014	3704
871	25042	3676
872	25075	3647
873	25103	3619
874	25129	3589
875	25159	3561
876	25188	3532
877	25225	3505
878	25255	3476
879	25284	3447
880	25311	3418
881	25339	3390
882	25367	3361
883	25394	3332
884	25447	3306
885	25477	3278
886	25503	3249
887	25532	3220
888	25562	3191
889	25589	3162
890	25613	3133
891	25642	3104
892	25674	3076
893	25697	3046
894	25723	3017
895	25757	2989
896	25785	2960
897	25807	2931
898	25839	2902
899	25870	2874
900	25899	2845
901	25929	2817
902	25961	2788
903	25984	2759
904	26008	2730
905	26037	2701
906	26068	2672
907	26101	2644
908	26127	2615
909	26157	2586
910	26184	2558
911	26211	2529
912	26241	2500
913	26272	2472
914	26305	2443
915	26335	2415
916	26367	2386
917	26396	2357
918	26427	2329
919	26455	2300
920	26485	2271
921	26510	2242
922	26540	2214
923	26570	2185
924	26595	2156
925	26621	2127
926	26650	2098
927	26680	2070
928	26706	2041
929	26750	2013
930	26781	1984
931	26807	1955
932	26838	1927
933	26865	1898
934	26895	1869
935	26925	1841
936	26953	1812
937	26983	1783
938	27007	1754
939	27037	1725
940	27063	1696
941	27088	1667
942	27113	1638
943	27143	1610
944	27174	1581
945	27202	1552
946	27233	1524
947	27262	1495
948	27291	1466
949	27323	1438
950	27353	1409
951	27381	1380
952	27410	1351
953	27442	1323
954	27473	1294
955	27507	1266
956	27536	1237
957	27565	1208
958	27590	1179
959	27614	1150
960	27644	1121
961	27671	1093
962	27700	1064
963	27731	1035
964	27759	1006
965	27785	977
966	27816	949
967	27848	920
968	27872	891
969	27902	862
970	27944	834
971	27970	805
972	27993	776
973	28019	747
974	28052	719
975	28078	690
976	28105	661
977	28133	632
978	28160	604
979	28187	575
980	28213	546
981	28247	517
982	28280	489
983	28309	460
984	28335	431
985	28366	402
986	28396	374
987	28429	345
988	28463	316
989	28493	287
990	28521	259
991	28553	230
992	28584	201
993	28609	172
994	28636	143
995	28667	115
996	28693	86
997	28725	57
998	28755	28
999	28779	0
